File,Phrase,Category,Severity,Count
toxic_sentence.csv,incompetence,harassment,2,1
toxic_sentence.csv,hermit,general_toxicity,2,1
toxic_sentence.csv,homophobic,harassment,2,1
toxic_sentence.csv,whiners,harassment,2,1
toxic_sentence.csv,wimp,harassment,2,1
toxic_sentence.csv,wretched,general_toxicity,2,1
toxic_sentence.csv,screw,harassment,2,1
toxic_sentence.csv,zombies,general_toxicity,2,1
toxic_sentence.csv,sexual,sexual_identity,1,85
toxic_sentence.csv,sex,sexual_identity,1,64
toxic_sentence.csv,suffer,general_toxicity,1,34
toxic_sentence.csv,weak,harassment,1,32
toxic_sentence.csv,vomit,general_toxicity,1,29
toxic_sentence.csv,cult,general_toxicity,1,18
toxic_sentence.csv,arrogant,general_toxicity,1,12
toxic_sentence.csv,puke,general_toxicity,1,11
toxic_sentence.csv,embarrassment,general_toxicity,1,10
toxic_sentence.csv,cruel,general_toxicity,1,10
toxic_sentence.csv,pants,general_slang,1,9
toxic_sentence.csv,weird,general_toxicity,1,8
toxic_sentence.csv,unappealing,general_toxicity,1,7
toxic_sentence.csv,hypocritical,general_toxicity,1,7
toxic_sentence.csv,despicable,general_toxicity,1,7
toxic_sentence.csv,disease,general_toxicity,1,6
toxic_sentence.csv,sack,general_toxicity,1,6
toxic_sentence.csv,fanatics,general_toxicity,1,5
toxic_sentence.csv,coward,harassment,1,5
toxic_sentence.csv,junk,general_toxicity,1,5
toxic_sentence.csv,shoot,general_toxicity,1,4
toxic_sentence.csv,corrupt,general_toxicity,1,4
toxic_sentence.csv,corrupt,general_toxicity,1,4
toxic_sentence.csv,lying,general_toxicity,1,3
toxic_sentence.csv,hed,general_toxicity,1,3
toxic_sentence.csv,hypocrisy,general_toxicity,1,3
toxic_sentence.csv,spout,general_toxicity,1,3
toxic_sentence.csv,laughable,general_toxicity,1,2
toxic_sentence.csv,puking,general_toxicity,1,2
toxic_sentence.csv,mindless,general_toxicity,1,2
toxic_sentence.csv,crude,general_toxicity,1,2
toxic_sentence.csv,shove,general_toxicity,1,2
toxic_sentence.csv,sht,general_toxicity,1,2
toxic_sentence.csv,deviant,general_toxicity,1,2
toxic_sentence.csv,stench,general_toxicity,1,2
toxic_sentence.csv,feces,general_toxicity,1,2
toxic_sentence.csv,penis,sexual_content,1,2
toxic_sentence.csv,closeminded,harassment,1,1
toxic_sentence.csv,coke,drug_reference,1,1
toxic_sentence.csv,paranoid,general_toxicity,1,1
